range [25137,27202] : 104177726
range [35969,63611] : 380101563
range [14892,37363] : 120586759
range [24268,51158] : 340891991
range [44800,60909] : 801946672
range [39627,65835] : 308641806
range [14282,84533] : 509690499
range [3323,38795] : 770917984
range [45346,62347] : 847349697
range [68395,75986] : 377444173
range [68896,76556] : 382443856
range [31599,40909] : 465599055
range [36989,74954] : 896367875
range [28733,31588] : 142000484
range [9273,65131] : 788798878
range [48478,61565] : 653158426
range [18752,55758] : 845919152
range [58431,76087] : 881952103
range [18759,79097] : 11574546
range [76411,82613] : 313413757
range [43235,70299] : 351792355
range [7949,36945] : 448137533
range [18706,87570] : 438824407
range [55598,57951] : 116282455
range [54838,60566] : 285913724
range [49566,87511] : 896150840
range [75127,86815] : 585897347
range [58702,73576] : 745103370
range [36138,81122] : 247500125
range [67862,72487] : 231850133
range [9225,20163] : 547812693
range [50211,60729] : 525545157
range [2176,87627] : 268073646
range [29125,86277] : 855086010
range [7752,71793] : 201078964
range [67077,71820] : 237383222
range [36518,73463] : 845948427
range [4008,59835] : 787924264
range [87026,88188] : 57799258
range [69959,78911] : 445524457
range [3788,23059] : 962561807
range [50090,78674] : 427667773
range [78762,87821] : 454366276
range [83674,87877] : 210029624
range [47316,70158] : 141337586
range [82551,85147] : 129012037
range [66094,77470] : 567962805
range [1530,42865] : 65120339
range [50159,62257] : 605169072
range [52570,57642] : 252820377
range [70212,76855] : 330764117
range [50218,63877] : 683295851
range [26730,74176] : 369077434
range [57255,65755] : 425251326
range [87442,87887] : 21898109
range [74662,88439] : 690532381
range [72751,75150] : 117759285
range [28678,62208] : 673996815
range [76339,78660] : 116851496
range [75053,80205] : 258464738
range [13507,65297] : 585878261
range [60596,79843] : 962124055
range [23408,60389] : 846573512
range [26895,73325] : 319709537
range [71975,72730] : 38152567
range [13414,24709] : 563163024
range [65217,66847] : 81741182
range [62992,81210] : 911080019
range [17312,88009] : 531007064
range [71035,87763] : 833960587
range [4936,31162] : 312372075
range [1054,8966] : 394541678
range [27422,44614] : 860535057
range [6799,54829] : 399888199
range [67860,80873] : 650495598
range [15031,20092] : 253769341
range [54837,57583] : 137098209
range [39850,76108] : 808734740
range [74716,84402] : 485594057
range [30562,45009] : 721961529
range [43223,83701] : 21466724
range [389,7482] : 351364289
range [82811,87959] : 256219874
range [19795,68949] : 452432904
range [17730,63882] : 302360173
range [75765,84324] : 430750899
range [45751,80258] : 721983858
range [18707,55226] : 821759563
range [51836,82408] : 530288966
range [17437,38514] : 49052548
range [7576,61758] : 708222421
range [73887,87602] : 686056910
range [43110,78686] : 774983769
range [33276,51215] : 894883277
range [51369,82745] : 570037974
range [84668,87069] : 120433518
range [54067,77778] : 185461032
range [33994,83447] : 469468308
range [72780,78133] : 266223904
range [53347,85995] : 633805372
range [15271,71670] : 816855866
range [28316,64097] : 785452979
range [83638,89016] : 270455551
range [49710,51968] : 111658608
range [21510,67392] : 291687724
range [13571,62209] : 427848031
range [24278,61910] : 878712857
range [40406,46002] : 282437243
range [85468,87793] : 116225795
range [8778,9204] : 21707039
range [44870,58995] : 702053106
range [35019,35327] : 15711043
range [64627,84499] : 994758982
range [23459,59089] : 778277190
range [57516,76744] : 960870191
range [81780,82809] : 51767343
range [79648,85209] : 279308519
range [26035,73312] : 361199454
range [62995,89069] : 304305545
range [68805,87137] : 917510089
range [10341,57534] : 354733639
range [85546,89276] : 187364169
range [21597,39830] : 910163734
range [75107,85374] : 514543437
range [47830,51638] : 188347931
range [66208,81481] : 764383102
range [25920,43355] : 871988330
range [58674,85194] : 327346401
range [32204,70704] : 926155878
range [13399,82659] : 459433840
range [76432,78055] : 83005906
range [59534,60418] : 44642464
range [58087,73928] : 793234883
range [18749,71160] : 618466948
range [65913,87023] : 56206281
range [75047,79209] : 208750805
range [6889,61535] : 729958731
range [26245,34995] : 436390228
range [48787,57907] : 454057449
range [17430,82754] : 262480366
range [55674,89221] : 679145904
range [72204,86857] : 732415631
range [14532,84155] : 478005263
range [47339,78924] : 576171410
range [4378,81952] : 877099204
range [62477,65926] : 171628095
range [3379,88834] : 271163826
range [73636,87851] : 710902897
range [37411,41714] : 216115593
range [72081,89075] : 850008795
range [18351,88193] : 487217526
range [588,20541] : 997167549
range [48997,56531] : 375346891
range [20809,41809] : 48036682
range [25832,34891] : 451544230
range [25045,27388] : 116940539
range [71083,72479] : 68631390
range [64000,64615] : 30906255
range [73636,81184] : 378424588
range [63771,74969] : 558597328
range [62541,65415] : 143083704
range [1300,18100] : 841527786
range [65885,80134] : 712054169
range [35434,57507] : 101814001
range [35360,50020] : 731923532
range [895,76034] : 749830575
range [83980,86472] : 125519905
range [78114,86082] : 400636095
range [36754,39147] : 120176343
range [7529,35783] : 413606389
range [81022,88210] : 359534822
range [29468,76573] : 350806049
range [37041,82411] : 268872344
range [20509,82765] : 110268557
range [14923,77017] : 100821004
range [82223,85327] : 154207861
range [2690,36984] : 711822200
range [670,75298] : 725346803
range [51952,83433] : 574673763
range [44257,51602] : 363288398
range [37568,41565] : 201383288
range [67334,69254] : 94683007
range [23193,83224] : 807418
range [79128,88672] : 479558090
range [24440,86146] : 84588595
range [47213,57905] : 531755257
range [46069,50617] : 224363773
range [10649,40649] : 495713791
range [34329,63751] : 468811930
range [60569,77552] : 849181428
range [29192,87640] : 918021899
range [79492,86796] : 367012383
range [79572,80372] : 41204834
range [26899,55195] : 412624640
range [13047,51648] : 925686283
range [76258,86174] : 500280734
range [21610,47896] : 312278560
range [30255,72420] : 106803116
range [11879,23768] : 593163141
range [59233,60886] : 83550737
range [55975,87504] : 577251521
range [17797,84610] : 335957648
range [14538,84657] : 502972546
range [66909,72117] : 261400883
range [76431,80410] : 201118933
range [36194,75511] : 961627457
range [27057,82603] : 776235188
range [23769,84000] : 9532418
range [11248,11275] : 1321430
range [41691,45391] : 187293860
range [10539,44639] : 703520241
range [60719,82781] : 104291018
range [39346,57543] : 908685897
range [4225,18897] : 735145632
range [28732,56053] : 363456277
range [20627,34960] : 713989302
range [50795,73493] : 135610854
range [89085,89209] : 6190858
range [2943,72659] : 483471896
range [55030,80397] : 268551974
range [68734,88767] : 3720135
range [63564,88873] : 267157770
range [11504,45256] : 686912760
range [26253,56524] : 510928702
range [57117,73321] : 810461088
range [5517,9243] : 188075266
range [86079,87712] : 79594487
range [51102,73125] : 102651864
range [88439,89333] : 45517785
range [5794,52701] : 343529116
range [76351,88590] : 615435254
range [74288,78611] : 215709531
range [32353,79161] : 338666101
range [9826,79946] : 500679469
range [70446,83426] : 647401815
range [54572,77027] : 122587966
range [5630,85821] : 9469344
range [7272,61614] : 715163335
range [56393,87914] : 576674772
range [14005,26248] : 610775590
range [40326,45099] : 240978847
range [63976,83349] : 969682883
range [68233,89294] : 55334581
range [72696,86869] : 708321998
range [26192,58172] : 594452041
range [28777,74706] : 293158321
range [30661,52658] : 96465538
range [27341,49288] : 96297239
range [7243,66431] : 957872854
range [40811,86289] : 274471807
range [13391,81857] : 420228478
range [24056,85576] : 73712781
range [46808,83515] : 834282201
range [24946,26820] : 94010467
range [52236,81700] : 474609503
range [12334,45096] : 637801195
range [56384,60960] : 229043090
range [20225,25263] : 249753122
range [20153,29461] : 464048787
range [38124,49836] : 586645364
range [42629,47199] : 228233194
range [34265,43590] : 466811113
range [15321,26441] : 554132085
range [84721,88461] : 187917543
range [28359,70242] : 92531453
range [68054,74830] : 337459028
range [29801,60811] : 547301130
range [24346,52587] : 409279036
range [65612,73719] : 404938285
range [23064,42329] : 962797370
range [74857,75657] : 38595442
range [46508,86790] : 12462832
range [29053,72370] : 163312947
range [29478,30361] : 43812336
range [70552,75234] : 231292864
range [17319,46622] : 463003479
range [84220,88429] : 211139236
range [53486,59206] : 284286911
range [86419,89323] : 145335783
range [6200,26922] : 36472326
range [6131,10138] : 202902498
range [64325,84985] : 34470328
range [84299,88645] : 218003638
range [14946,63303] : 414714726
range [24045,30508] : 322744601
range [77127,79707] : 129086144
range [36277,76023] : 982687106
range [64325,74629] : 515428829
range [38050,86847] : 440684967
range [19923,55886] : 792655265
range [51620,74123] : 125716950
range [55889,70950] : 755848966
range [15608,16020] : 20504461
range [83291,84250] : 47136011
range [61206,78060] : 843099583
range [69447,85460] : 800749418
range [39863,41288] : 71254190
range [73420,77050] : 180760914
range [48577,65816] : 861797448
range [76274,76300] : 1611266
range [45869,48635] : 135487256
range [84913,85492] : 29037468
range [74365,82000] : 384695442
range [19068,78774] : 979382764
range [80487,84600] : 205733010
range [76329,79167] : 143384545
range [104,38411] : 910438755
range [81699,88913] : 361258181
range [58300,60360] : 103846995
range [74962,77414] : 123474186
range [19036,26975] : 394695815
range [41282,75326] : 699025843
range [86342,86511] : 7665751
range [36078,42317] : 311141153
range [7317,14920] : 381898826
range [35090,46324] : 562968582
range [30781,71117] : 15309531
range [20840,84432] : 176476464
range [11063,66237] : 753599427
range [8937,32473] : 174611459
range [47413,81279] : 692890502
range [4696,84076] : 966766898
range [43114,44323] : 61372740
range [64926,69315] : 220016084
range [87047,87778] : 35956591
range [12840,88398] : 775353123
range [75550,89076] : 680492604
range [59169,87450] : 416199976
range [55419,62369] : 348244514
range [56799,62453] : 283855597
range [70625,79654] : 449635743
range [52422,78173] : 287174555
range [11214,36434] : 258222465
range [26837,73454] : 328981892
range [4499,56506] : 596927521
range [80910,86869] : 298806006
range [37223,49885] : 632985790
range [8491,85340] : 840416869
range [25422,86117] : 35007724
range [47916,80295] : 617731243
range [74204,88630] : 722908570
range [40745,67764] : 351065519
range [3456,68955] : 271299530
range [21135,67890] : 335033031
range [87700,89076] : 70636338
range [31093,36703] : 278320763
range [70681,77006] : 313984909
range [87143,87787] : 31952542
range [72106,83121] : 550141909
range [85017,85324] : 15722268
range [35646,75203] : 975576749
range [61676,78621] : 846421358
range [73316,78154] : 241557940
range [8260,24926] : 833006893
range [18219,81076] : 138301457
range [85773,88354] : 127771880
range [3831,62040] : 908122753
range [56337,64239] : 394139998
range [84325,88572] : 212816192
range [68046,79414] : 567469950
range [19456,76446] : 842593144
range [14988,52771] : 885398290
range [46689,88292] : 78133028
range [37624,49335] : 587119581
range [65064,80814] : 788298186
range [44341,85402] : 50176683
range [20067,81938] : 90811280
range [89062,89301] : 12293757
range [8516,73559] : 249597176
range [1897,10787] : 444624454
range [7522,64910] : 868026854
range [76263,88596] : 619958556
range [79379,82576] : 161493219
range [65298,81588] : 815579334
range [16902,61326] : 216237674
range [36608,59731] : 154125446
range [43290,49506] : 309455504
range [22118,42248] : 4590420
range [26640,41237] : 729302786
range [53956,57069] : 155336737
range [38823,49235] : 521525881
range [63406,68128] : 235998469
range [72650,80597] : 397140908
range [61897,70465] : 429665079
range [2604,18061] : 774098463
range [36782,81471] : 235140031
range [14320,49416] : 752556714
range [33329,34353] : 51604520
range [65668,69349] : 184357870
range [81730,88867] : 357494611
range [64515,89223] : 237988928
range [35255,78090] : 140948075
range [61954,76787] : 740661872
range [85196,88725] : 177008837
range [3870,68614] : 233923601
range [857,63990] : 151299235
range [73466,86348] : 645438991
range [47352,83229] : 793467641
range [30975,66659] : 781668131
range [7735,83605] : 791677538
range [15240,87601] : 614162681
range [41242,81638] : 20193839
range [62868,84894] : 100778554
range [80622,85174] : 227383858
range [63364,87166] : 190086528
range [26978,66229] : 960879918
range [68200,73313] : 255894535
range [3639,22954] : 964752269
range [58286,62316] : 204019681
range [47969,79356] : 567740571
range [28627,51567] : 143818594
range [42945,78119] : 756440528
range [12069,52354] : 9267943
range [10324,87024] : 831207215
range [60203,61097] : 45834289
range [70250,81268] : 551498829
range [15150,15952] : 40414010
range [32575,51092] : 925165694
range [18749,53319] : 724371521
range [11911,81624] : 483369007
range [68733,71384] : 135115579
range [71364,82162] : 539419714
range [41475,67400] : 296404937
